train_id,section_id,entry_time,exit_time,delay_added
T0001,STN_09__STN_10,09:50,10:20,0.2208966253323057
T0001,STN_08__STN_09,10:22,10:56,0.2208966253323057
T0001,STN_07__STN_08,10:56,11:14,0.2208966253323057
T0001,STN_06__STN_07,11:17,11:32,0.2208966253323057
T0001,STN_05__STN_06,11:33,11:56,0.2208966253323057
T0001,STN_05__STN_11,11:58,12:28,0.2208966253323057
T0002,STN_09__STN_10,14:44,14:55,1.2262207519636679
T0002,STN_08__STN_09,14:55,15:09,1.2262207519636679
T0002,STN_07__STN_08,15:09,15:15,1.2262207519636679
T0002,STN_06__STN_07,15:21,15:27,1.2262207519636679
T0002,STN_05__STN_06,15:27,15:36,1.2262207519636679
T0002,STN_05__STN_11,15:36,15:47,1.2262207519636679
T0002,STN_11__STN_12,15:47,15:56,1.2262207519636679
T0003,STN_03__STN_04,09:27,09:47,0.0
T0003,STN_04__STN_05,09:48,09:58,0.0
T0003,STN_05__STN_11,10:00,10:20,0.0
T0004,STN_02__STN_03,22:19,22:52,4.213414772980014
T0004,STN_03__STN_04,22:52,23:27,4.213414772980014
T0004,STN_04__STN_05,23:27,23:45,4.213414772980014
T0004,STN_05__STN_11,23:54,00:31,4.213414772980014
T0005,STN_02__STN_03,14:11,14:32,0.06890133225805428
T0005,STN_03__STN_04,14:33,14:55,0.06890133225805428
T0005,STN_04__STN_05,14:58,15:10,0.06890133225805428
T0005,STN_05__STN_11,15:10,15:33,0.06890133225805428
T0006,STN_03__STN_04,12:13,12:37,3.515055718860439
T0006,STN_02__STN_03,12:37,12:57,3.515055718860439
T0006,STN_01__STN_02,12:58,13:23,3.515055718860439
T0007,STN_03__STN_04,20:13,20:43,0.0
T0007,STN_04__STN_05,20:46,21:02,0.0
T0007,STN_05__STN_11,21:03,21:33,0.0
T0008,STN_04__STN_05,14:38,14:49,3.0704007409179814
T0008,STN_05__STN_11,14:51,15:11,3.0704007409179814
T0008,STN_11__STN_12,15:12,15:29,3.0704007409179814
T0009,STN_04__STN_05,11:31,11:39,0.0
T0009,STN_05__STN_06,11:39,11:51,0.0
T0009,STN_06__STN_07,11:53,12:02,0.0
T0009,STN_07__STN_08,12:05,12:14,0.0
T0009,STN_08__STN_09,12:14,12:32,0.0
T0009,STN_09__STN_10,12:32,12:48,0.0
T0010,STN_03__STN_04,07:18,07:45,18.24754121227493
T0010,STN_02__STN_03,07:47,08:11,18.24754121227493
T0011,STN_06__STN_07,15:34,15:45,0.0
T0011,STN_05__STN_06,15:46,16:02,0.0
T0011,STN_05__STN_11,16:04,16:24,0.0
T0011,STN_11__STN_12,16:25,16:42,0.0
T0012,STN_05__STN_11,04:30,04:55,9.641080046755775
T0012,STN_05__STN_06,04:55,05:15,9.641080046755775
T0012,STN_06__STN_07,05:15,05:28,9.641080046755775
T0012,STN_07__STN_08,05:28,05:42,9.641080046755775
T0012,STN_08__STN_09,05:53,06:20,9.641080046755775
T0013,STN_07__STN_08,18:26,18:34,0.0
T0013,STN_06__STN_07,18:34,18:42,0.0
T0013,STN_05__STN_06,18:42,18:53,0.0
T0014,STN_01__STN_02,22:30,22:45,2.327056110606389
T0014,STN_02__STN_03,22:45,22:58,2.327056110606389
T0014,STN_03__STN_04,22:58,23:13,2.327056110606389
T0014,STN_04__STN_05,23:13,23:20,2.327056110606389
T0014,STN_05__STN_06,23:20,23:32,2.327056110606389
T0014,STN_06__STN_07,23:34,23:42,2.327056110606389
T0014,STN_07__STN_08,23:44,23:53,2.327056110606389
T0014,STN_08__STN_09,23:53,00:10,2.327056110606389
T0014,STN_09__STN_10,00:12,00:26,2.327056110606389
T0015,STN_04__STN_05,14:43,14:55,13.286163481423868
T0015,STN_05__STN_11,14:58,15:21,13.286163481423868
T0016,STN_08__STN_09,23:13,23:35,25.297374445274684
T0016,STN_09__STN_10,23:36,23:54,25.297374445274684
T0017,STN_02__STN_03,16:36,16:48,1.481526611917844
T0017,STN_03__STN_04,16:48,17:02,1.481526611917844
T0018,STN_05__STN_11,04:16,04:31,23.95986839724997
T0018,STN_05__STN_06,04:39,04:50,23.95986839724997
T0018,STN_06__STN_07,04:50,04:58,23.95986839724997
T0018,STN_07__STN_08,04:58,05:07,23.95986839724997
T0018,STN_08__STN_09,05:12,05:29,23.95986839724997
T0019,STN_05__STN_06,20:40,21:01,0.10317704411194202
T0019,STN_06__STN_07,21:01,21:15,0.10317704411194202
T0019,STN_07__STN_08,21:17,21:32,0.10317704411194202
T0019,STN_08__STN_09,21:33,22:05,0.10317704411194202
T0020,STN_11__STN_12,23:08,23:20,0.0
T0020,STN_05__STN_11,23:28,23:44,0.0
T0020,STN_05__STN_06,23:49,00:01,0.0
T0020,STN_06__STN_07,00:05,00:13,0.0
T0021,STN_01__STN_02,11:10,11:25,0.0
T0021,STN_02__STN_03,11:25,11:37,0.0
T0021,STN_03__STN_04,11:43,11:58,0.0
T0021,STN_04__STN_05,11:58,12:06,0.0
T0021,STN_05__STN_06,12:10,12:22,0.0
T0022,STN_01__STN_02,15:20,15:48,5.41768056477323
T0022,STN_02__STN_03,15:48,16:12,5.41768056477323
T0023,STN_04__STN_05,03:56,04:10,16.04097996525401
T0023,STN_03__STN_04,04:10,04:38,16.04097996525401
T0024,STN_07__STN_08,14:25,14:34,26.430738572939255
T0024,STN_06__STN_07,14:34,14:41,26.430738572939255
T0025,STN_02__STN_03,15:59,16:21,8.86475906142377
T0025,STN_03__STN_04,16:24,16:48,8.86475906142377
T0025,STN_04__STN_05,16:50,17:02,8.86475906142377
T0026,STN_09__STN_10,15:47,16:17,5.536575634561573
T0026,STN_08__STN_09,16:17,16:51,5.536575634561573
T0026,STN_07__STN_08,16:51,17:08,5.536575634561573
T0027,STN_01__STN_02,18:53,19:19,1.5698027059138175
T0027,STN_02__STN_03,19:19,19:42,1.5698027059138175
T0027,STN_03__STN_04,19:45,20:12,1.5698027059138175
T0027,STN_04__STN_05,20:14,20:27,1.5698027059138175
T0027,STN_05__STN_11,20:29,20:55,1.5698027059138175
T0027,STN_11__STN_12,20:56,21:18,1.5698027059138175
T0028,STN_05__STN_11,15:08,15:26,21.068778662391235
T0028,STN_05__STN_06,15:30,15:44,21.068778662391235
T0028,STN_06__STN_07,15:44,15:53,21.068778662391235
T0029,STN_05__STN_06,22:42,23:05,14.227954444091937
T0029,STN_06__STN_07,23:06,23:21,14.227954444091937
T0030,STN_06__STN_07,19:04,19:15,7.66221271316256
T0030,STN_07__STN_08,19:17,19:29,7.66221271316256
T0031,STN_03__STN_04,06:53,07:14,17.180389969270603
